"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"Fairfield","VA",,"Rockbridge",13081,1261,0.0136655948553055,0.0285481239804241,-0.0292532717474981,582
2015-08-31,"Oldmans","NJ","Philadelphia","Salem",13082,1328,-0.0764951321279555,-0.183271832718327,-0.168961201501877,615
2015-08-31,"Laureles","TX","Brownsville","Cameron",13083,838,-0.00356718192627824,0.00963855421686747,0.0133010882708585,1041
2015-08-31,"Tioga","TX","Sherman","Grayson",13084,1162,0.0274093722369584,0.0210896309314587,0.0237885462555066,498
2015-08-31,"Devers","TX","Houston","Liberty",13085,1330,0.0144927536231884,0.0358255451713396,0.110183639398998,453
2015-08-31,"Sparkman","AR",,"Dallas",13086,730,0.0110803324099723,-0.00949796472184532,0.020979020979021,440
2015-08-31,"Saugerties South","NY","Kingston","Ulster",13087,1438,-0.00277392510402219,-0.0582842174197773,-0.0973006905210295,696
2015-08-31,"Mead Township","PA","Warren","Warren",13088,995,-0.0225933202357564,-0.0292682926829268,-0.0871559633027523,492
2015-08-31,"Ivor","VA",,"Southampton",13089,1232,0.000812347684809098,-0.00323624595469256,-0.0072522159548751,631
2015-08-31,"Hamshire","TX","Beaumont","Jefferson",13090,1231,0.00489795918367347,0.00736497545008183,0.024126455906822,559
2015-08-31,"Finley","TN","Dyersburg","Dyer",13091,816,-0.0320284697508897,-0.0274135876042908,-0.0204081632653061,426
2015-08-31,"Washington","KS",,"Washington",13092,934,-0.00106951871657754,-0.0095440084835631,0.0936768149882904,577
2015-08-31,"Beech Creek Township","PA","Lock Haven","Clinton",13093,1013,-0.0398104265402844,0.0150300601202405,-0.0774134790528233,413
2015-08-31,"Vineyard Haven","MA",,"Dukes",13094,2477,0.00486815415821501,0.0473572938689218,0.0231309376290789,1013
2015-08-31,"Stockport","NY","Hudson","Columbia",13095,1533,-0.0652439024390244,-0.0869565217391304,-0.147859922178988,420
2015-08-31,"Fayette","AL",,"Fayette",13096,849,0.00711743772241993,-0.00585480093676815,0.00951248513674197,1359
2015-08-31,"Pacific Junction","IA","Omaha","Mills",13097,1199,0.0178268251273345,0.0489938757655293,0.0667259786476868,618
2015-08-31,"Rockwell","IA","Mason City","Cerro Gordo",13098,1045,-0.00286259541984733,-0.0341959334565619,0.050251256281407,574
2015-08-31,"Lake Waccamaw","NC",,"Columbus",13099,1220,0.00909842845326716,0.0132890365448505,0.0472103004291846,415
2015-08-31,"McCamey","TX",,"Upton",13100,883,0.00227014755959137,-0.0167037861915367,-0.00897867564534231,747
2015-08-31,"Butternuts","NY","Oneonta","Otsego",13101,1468,-0.0160857908847185,0.015916955017301,-0.006765899864682,566
2015-08-31,"Newcastle","ME",,"Lincoln",13102,1377,-0.0247875354107649,-0.0568493150684932,-0.0309641097818438,733
2015-08-31,"Brownsville","WI","Beaver Dam","Dodge",13103,1119,-0.0286458333333333,-0.0698254364089776,-0.00973451327433628,676
2015-08-31,"Whitelaw","WI","Manitowoc","Manitowoc",13104,987,0.00304878048780488,-0.00202224469160768,-0.0149700598802395,903
2015-08-31,"Evans City","PA","Pittsburgh","Butler",13105,1366,-0.00726744186046512,0.0348484848484849,-0.0144300144300144,424
2015-08-31,"Clayton","WA",,"Stevens",13106,1159,0.0166666666666667,0.028393966282165,-0.00600343053173242,485
2015-08-31,"Bonanza","OR","Klamath Falls","Klamath",13107,825,0.032540675844806,0.075619295958279,0.0855263157894737,538
2015-08-31,"Copperopolis","CA",,"Calaveras",13108,1693,-0.00294464075382803,-0.00294464075382803,-0.0116754232340922,2096
2015-08-31,"Bethany","NY","Batavia","Genesee",13109,1458,-0.0121951219512195,0.00899653979238754,0.0125,432
2015-08-31,"Wheeler","MI","Alma","Gratiot",13110,857,0.02389486260454,0.0288115246098439,0.0567200986436498,570
2015-08-31,"Millwood","WA","Spokane","Spokane",13111,1026,-0.00965250965250965,-0.00484966052376334,0.0290872617853561,660
2015-08-31,"Bigfork","MN",,"Itasca",13112,1275,0.00710900473933649,0.0349025974025974,-0.0123934934159566,549
2015-08-31,"Combes","TX","Brownsville","Cameron",13113,840,-0.0266512166859791,-0.0344827586206897,0.0256410256410256,1089
2015-08-31,"Williamsfield","OH","Ashtabula","Ashtabula",13114,955,-0.00313152400835073,0.00844772967265047,0.0482985729967069,427
2015-08-31,"Cheswick","PA","Pittsburgh","Allegheny",13115,1137,0.00619469026548673,0.0197309417040359,0.0298913043478261,775
2015-08-31,"Darlington","IN","Crawfordsville","Montgomery",13116,935,0.00862998921251348,0.016304347826087,0.0218579234972678,710
2015-08-31,"Sugar Grove","NC","Boone","Watauga",13117,1197,0.00419463087248322,0.00335289186923722,0.0463286713286713,691
