"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Medford","OR","Medford","Jackson",393,209700,0.00768861124459395,0.0259295499021526,0.0792588780236747,0.0313594937867057,-0.0195989716886569,"2006-05","2006-Q2",275500,-0.238838475499093,"2004-11"
2015-08-31,"Yakima","WA","Yakima","Yakima",394,143500,0,0.000697350069735007,0.0459183673469388,0.00295280732002379,0.014958348387301,"2008-07","2008-Q3",145400,-0.0130674002751032,"2007-07"
2015-08-31,"Roswell","GA","Atlanta","Fulton",395,321800,0.00436953807740325,0.0132241813602015,0.0627476882430647,0.0464048262890919,0.0165445912972297,"2015-08","2015-Q3",321800,0,"2015-08"
2015-08-31,"Meridian","ID","Boise City","Ada",396,202900,-0.00245821042281219,-0.000492610837438424,0.0289046653144016,0.0538427904904915,0.010929956238958,"2007-05","2007-Q2",248600,-0.183829444891392,"2006-01"
2015-08-31,"Reading","PA","Reading","Berks",397,60600,0.0033112582781457,0.011686143572621,0.0484429065743945,-0.00261955138720349,0.00955992460914579,"2007-11","2007-Q4",63300,-0.042654028436019,"2006-09"
2015-08-31,"Lees Summit","MO","Kansas City","Jackson",398,178800,0.00562429696287964,0.0176437108708025,0.0474516695957821,0.0196786658798807,-0.0280725829848677,"2006-02","2006-Q1",256900,-0.304009342156481,"2000-03"
2015-08-31,"Nashua","NH","Manchester","Hillsborough",399,238500,0.00632911392405063,0.0214132762312634,0.06,0.0226811157913118,-0.0105553915093504,"2005-10","2005-Q4",267900,-0.109742441209406,"2004-03"
2015-08-31,"Williamsburg","VA","Virginia Beach","James City",400,301200,0,0.002997002997003,0.0583274771609276,-0.00145445545068479,0.00103508485512305,"2006-09","2006-Q3",338100,-0.109139307897072,"2005-09"
2015-08-31,"Highlands Ranch","CO","Denver","Douglas",401,404400,0.0107473131717071,0.0324227725299974,0.152465089769165,0.0669327723421773,0.0310711740927216,"2015-08","2015-Q3",404400,0,"2015-08"
2015-08-31,"Fall River","MA","Providence","Bristol",402,217100,0.00789229340761374,0.0240566037735849,0.0948058497226425,0.0148241298377993,-0.0167302690529685,"2005-11","2005-Q4",257900,-0.158200853043815,"2004-02"
2015-08-31,"Cheyenne","WY","Cheyenne","Laramie",403,186700,0.00809935205183585,0.0252608456891818,0.0512387387387387,0.0227974917801126,0.0148570610616081,"2009-06","2009-Q2",191600,-0.0255741127348643,"2008-12"
2015-08-31,"Sterling","VA","Washington","Loudoun",404,372600,-0.000268312315535283,-0.00160771704180064,0.00107469102632993,0.0418779120558068,-0.0205958404743259,"2005-10","2005-Q4",464500,-0.197847147470398,"2004-10"
2015-08-31,"Cleveland","TN","Cleveland","Bradley",405,131800,0.0053394355453852,0.0138461538461538,0.0240870240870241,0.0100051186129271,0.0109502718227239,"2015-08","2015-Q3",131800,0,"2015-08"
2015-08-31,"Germantown","MD","Washington","Montgomery",406,285400,-0.00279524807826695,-0.00868357068426537,-0.012798339674853,0.0195236653802464,-0.0200012126115456,"2006-03","2006-Q1",364400,-0.216794731064764,"2004-07"
2015-08-31,"Norwalk","CT","Stamford","Fairfield",407,373800,0.00510890024200054,0.00646203554119548,-0.00373134328358209,0.00123516836561555,-0.0184034384821462,"2006-11","2006-Q4",466900,-0.199400299850075,"2004-01"
